Date,fx_kes_usd
,USDKES=X
2013-12-05,86.5
2013-12-06,86.5
2013-12-09,85.29499816894531
2013-12-10,85.552001953125
2013-12-11,85.0530014038086
2013-12-12,85.26399993896484
2013-12-13,86.5999984741211
2013-12-16,84.84100341796875
2013-12-17,84.58399963378906
2013-12-18,84.68699645996094
2013-12-19,84.38700103759766
2013-12-20,84.49500274658203
2013-12-23,84.38999938964844
2013-12-24,84.2750015258789
2013-12-25,85.69999694824219
2013-12-26,85.5
2013-12-27,86.0999984741211
2013-12-30,86.25
2013-12-31,86.4000015258789
2014-01-01,86.4000015258789
2014-01-02,85.43499755859375
2014-01-03,85.4280014038086
2014-01-06,85.41500091552734
2014-01-07,85.60099792480469
2014-01-08,85.13400268554688
2014-01-09,85.3270034790039
2014-01-10,86.55000305175781
2014-01-13,84.88400268554688
2014-01-14,84.69300079345703
2014-01-15,85.75
2014-01-16,84.38700103759766
2014-01-17,85.75
2014-01-20,84.4729995727539
2014-01-21,84.3239974975586
2014-01-22,84.3010025024414
2014-01-23,83.94999694824219
2014-01-24,85.9000015258789
2014-01-27,84.34100341796875
2014-01-28,84.53700256347656
2014-01-29,84.61699676513672
2014-01-30,84.6719970703125
2014-01-31,85.01599884033203
2014-02-03,85.21900177001953
2014-02-04,84.86900329589844
2014-02-05,84.66799926757812
2014-02-06,84.52999877929688
2014-02-07,85.94999694824219
2014-02-10,84.68800354003906
2014-02-11,84.68299865722656
2014-02-12,84.57499694824219
2014-02-13,84.94499969482422
2014-02-14,86.3499984741211
2014-02-17,84.84400177001953
2014-02-18,84.86000061035156
2014-02-19,84.69000244140625
2014-02-20,84.59100341796875
2014-02-21,86.19999694824219
2014-02-24,86.4000015258789
2014-02-25,85.0479965209961
2014-02-26,85.04100036621094
2014-02-27,84.94200134277344
2014-02-28,86.4000015258789
2014-03-03,84.94400024414062
2014-03-04,84.94300079345703
2014-03-05,85.14600372314453
2014-03-06,85.21499633789062
2014-03-07,86.55000305175781
2014-03-10,86.5
2014-03-11,84.80400085449219
2014-03-12,85.01000213623047
2014-03-13,85.11100006103516
2014-03-14,86.5
2014-03-17,85.06400299072266
2014-03-18,85.20700073242188
2014-03-19,85.00399780273438
2014-03-20,84.89399719238281
2014-03-21,86.5
2014-03-24,85.10700225830078
2014-03-25,85.30599975585938
2014-03-26,85.4020004272461
2014-03-27,85.03900146484375
2014-03-28,86.55000305175781
2014-03-31,84.95099639892578
2014-04-01,84.89600372314453
2014-04-02,85.05500030517578
2014-04-03,85.19400024414062
2014-04-04,86.6500015258789
2014-04-07,85.14199829101562
2014-04-08,85.00199890136719
2014-04-09,85.15699768066406
2014-04-10,85.10800170898438
2014-04-11,86.6500015258789
2014-04-14,85.30699920654297
2014-04-15,85.40299987792969
2014-04-16,85.34300231933594
2014-04-17,85.30599975585938
2014-04-18,85.30599975585938
2014-04-21,85.44599914550781
2014-04-22,85.6520004272461
2014-04-23,85.4530029296875
2014-04-24,85.40399932861328
2014-04-25,85.3550033569336
2014-04-28,85.36399841308594
2014-04-29,85.40899658203125
2014-04-30,85.58200073242188
2014-05-01,85.50199890136719
2014-05-02,85.33499908447266
2014-05-05,85.4010009765625
2014-05-06,85.76399993896484
2014-05-07,85.71399688720703
2014-05-08,85.65799713134766
2014-05-09,85.73799896240234
2014-05-12,85.68900299072266
2014-05-13,85.69200134277344
2014-05-14,85.83699798583984
2014-05-15,85.88999938964844
2014-05-16,86.06199645996094
2014-05-19,86.19200134277344
2014-05-20,86.38700103759766
2014-05-21,86.34200286865234
2014-05-22,86.39199829101562
2014-05-23,86.3239974975586
2014-05-26,86.42900085449219
2014-05-27,86.3290023803711
2014-05-28,86.30699920654297
2014-05-29,86.22799682617188
2014-05-30,86.24700164794922
2014-06-02,86.18199920654297
2014-06-03,85.97699737548828
2014-06-04,86.02899932861328
2014-06-05,86.03199768066406
2014-06-06,85.99600219726562
2014-06-09,85.87799835205078
2014-06-10,86.32099914550781
2014-06-11,86.3219985961914
2014-06-12,86.27999877929688
2014-06-13,86.43800354003906
2014-06-16,86.4729995727539
2014-06-17,86.1240005493164
2014-06-18,86.0770034790039
2014-06-19,85.93699645996094
2014-06-20,85.96900177001953
2014-06-23,85.9229965209961
2014-06-24,86.10800170898438
2014-06-25,85.9739990234375
2014-06-26,86.18599700927734
2014-06-27,86.02999877929688
2014-06-30,86.19300079345703
2014-07-01,86.38800048828125
2014-07-02,86.2760009765625
2014-07-03,86.28199768066406
2014-07-04,86.39600372314453
2014-07-07,86.28800201416016
